PulseID,Date,Number of Pulses,Max Current,Pulse Max Duration,Pulse Total Duration,Notes
9b01f42e293ea60de7bf85114278196a,19/09/2024 17:11,120,6.0,3,"2,76E+16",calibration check
d3192212c38b2819b4ccf43d8299cc9c,19/09/2024 18:11,60,90.0,1,3600,edge experiment initial probe
144bae7c866ddae199652f191c50a8c7,2024-09-24 17:32:35.648922,196,9.0,1,1176.0,"edge test 2, 1-14.5mm 28x0.5mm @22mm, 6-9W 7x0.5W 1s pulses,"
26a60440ad4f12e13d55224dad290dfe,2024-09-24 18:19:56.610506,196,9.0,1,2156.0,"edge test 2, 1-14.5mm 28x0.5mm @22mm, 6-9W 7x0.5W 1s pulses, delay 10 retry because PIX connect crashed"
40cc010bcb0468c77f48b6edc7c8f1f1,2024-09-25 16:51:01.458702,120,6.0,1,3600.0,6W test if no shadow
b0c71ce7268d6998f85fa969a82f87b0,2024-09-26 13:31:56.988402,120,6.0,1,3600.0,"6W test if no shadow, done in nitrogen"
d6870fa129a9a88a82f3d11d201d7c5b,2024-09-26 16:48:57.004705,60,6.0,1,1800.0,"6W test 2 30min if no shadow, nitrogen trial"
4414faddd57ef085ff3d86fd50a5bc3c,2024-09-27 12:29:53.181052,60,6.0,1,1800.0,"6W test 2 30min if no shadow, vacuum trial"
69070385f636c7209bc5b42307a69339,2024-09-27 16:14:08.585362,105,9.0,1,1155.0,"edge test 2, 1-14mm, 1 calibration @ 3mm then 14x1mm @22mm, 6-9W 7x0.5W 1s pulses, delay 10"
c92b8e430b6ec51d457554e1a4f83974,2024-10-02 13:51:19.808014,1089,6.0,1,10890.0,"top-left quadrant mapping, 0-16mm 0.5mm increments 10s interval PREHEAT to 29"
0a42e8997a1d066250044c306aa42646,2024-10-16 17:15:16.771354,112,6.0,1,1120.0,"112 points 4-32mm @ y=23, 1s @ 10s intervals, 6W to characterize spar, nitrogen"
267188b73ec8f57e8e27479048fcce87,2024-10-22 14:52:39.271685,200,6,1,2000.0,"affirm temperature readings do not change with shadow accumulation, 6Wx200 (8, 25)"
9a038c3cb2098b1a1c733258149b860a,2024-10-29 14:08:03.798127,300,1,1,3000.0,coarse search for minimum shadow threshold; 1W 1Sx300
9368d9d66bf72f8429cb65275c1cf71a,2024-10-29 18:30:52.883430,1,9,30,60.0,ramping test double exp
2af00f0e65d538c5af14fc9684882313,2024-10-29 18:35:50.561414,1,9,30,60.0,ramping test double exp a0.1 b0.1
d7c6f5199774ea87cb73212ec10d467a,2024-10-29 18:39:20.589702,1,9,30,31.0,ramping test double exp a: 0.02 b: 0.05
38823cb19c0d40a076fcffd302490c98,2024-10-29 18:42:57.797677,1,9,60,61.0,ramping test double exp a: 0.05 b: 0.05
9286c900073b6ae11ec926ecdf21bb5b,2024-10-30 14:26:22.710684,1,6,300,400.0,"300s @6W to test if damage accumulates with pulses or irradiation time, hold double exp a: 0.05 b: 0. preheat@46C"
4fbbac98d4908f9bbb4f7a00b6dc4583,2024-11-04 13:49:15.639611,472,6,1,944.0,"472 x 1s @6W to test if damage accumulates with pulses or irradiation time, binary pulses. preheat@30C"
684976a2649421a965da5fe2f61e1e02,2024-11-04 15:49:11.251576,472,6,43.96868826333574,28320.0,"300 x 1s (hold) @6W slow cool rapid heat, exp cool b: 0.05 to lasing threshold. preheat@32C"
318dd3e95f0eae25d8a3aa163f7dfb9b,2024-11-05 16:04:48.887096,472,6,14.862943611198904,14160.0,"300 x 1s (hold) @6W exp heat, rapid cool b: 0.05 to lasing threshold"
